symbol,price,amount,side,updated,sequence
BTC_USDT,81259.8,0.00580,Buy,2026-09-19 08:56:45.810000+00:00,36133934069
BTC_USDT,81259.1,0.00477,Buy,2026-09-19 08:56:47.635000+00:00,36133940223
BTC_USDT,81259.5,0.00462,Buy,2026-09-19 08:56:49.402000+00:00,36133945867
BTC_USDT,81260.0,0.00536,Buy,2026-09-19 08:56:53.134000+00:00,36133957598
BTC_USDT,81258.4,0.00002,Sell,2026-09-19 08:56:53.812000+00:00,36133959626
BTC_USDT,81259.0,0.00615,Buy,2026-09-19 08:56:58.613000+00:00,36133975579
BTC_USDT,81259.3,0.00585,Buy,2026-09-19 08:57:02.276000+00:00,36133987729
BTC_USDT,81252.5,0.00472,Buy,2026-09-19 08:57:08.007000+00:00,36134007080
BTC_USDT,81252.6,0.00477,Buy,2026-09-19 08:57:11.903000+00:00,36134019458
BTC_USDT,81252.1,0.00418,Buy,2026-09-19 08:57:15.729000+00:00,36134032076
BTC_USDT,81252.1,0.00012,Buy,2026-09-19 08:57:16.179000+00:00,36134033480
BTC_USDT,81253.4,0.00452,Buy,2026-09-19 08:57:21.722000+00:00,36134050585
BTC_USDT,81252.0,0.00008,Sell,2026-09-19 08:57:22.024000+00:00,36134051493
BTC_USDT,81252.1,0.00541,Buy,2026-09-19 08:57:26.148000+00:00,36134065078
BTC_USDT,81252.1,0.00012,Buy,2026-09-19 08:57:26.420000+00:00,36134066063
BTC_USDT,81253.2,0.00506,Buy,2026-09-19 08:57:28.068000+00:00,36134071228
BTC_USDT,81251.5,0.00615,Buy,2026-09-19 08:57:31.755000+00:00,36134082790
BTC_USDT,81248.7,0.00536,Buy,2026-09-19 08:57:33.666000+00:00,36134088700
BTC_USDT,81244.5,0.00477,Buy,2026-09-19 08:57:35.531000+00:00,36134094716
BTC_USDT,81244.4,0.00423,Buy,2026-09-19 08:57:37.438000+00:00,36134100734
BTC_USDT,81244.4,0.00433,Buy,2026-09-19 08:57:39.326000+00:00,36134107062
BTC_USDT,81243.3,0.00457,Buy,2026-09-19 08:57:44.993000+00:00,36134125387
BTC_USDT,81232.4,0.00600,Buy,2026-09-19 08:57:46.915000+00:00,36134131615
BTC_USDT,81229.0,0.00595,Buy,2026-09-19 08:57:52.847000+00:00,36134149851
BTC_USDT,81233.4,0.00492,Buy,2026-09-19 08:57:58.685000+00:00,36134169330
BTC_USDT,81234.4,0.00615,Buy,2026-09-19 08:58:00.559000+00:00,36134175182
BTC_USDT,81233.3,0.00306,Sell,2026-09-19 08:58:01.850000+00:00,36134179189
BTC_USDT,81233.3,0.00518,Sell,2026-09-19 08:58:02.111000+00:00,36134179974
BTC_USDT,81234.5,0.00585,Buy,2026-09-19 08:58:02.347000+00:00,36134180820
BTC_USDT,81233.8,0.00482,Buy,2026-09-19 08:58:04.178000+00:00,36134186706
