symbol,price,amount,side,updated,sequence
BTC_USDT,77345.6,0.00563,Buy,2026-09-12 16:58:48.497000+00:00,34348871279
BTC_USDT,77353.4,0.00543,Buy,2026-09-12 16:58:52.654000+00:00,34348884223
BTC_USDT,77352.4,0.00491,Sell,2026-09-12 16:58:56.629000+00:00,34348896134
BTC_USDT,77352.4,0.00605,Buy,2026-09-12 16:59:00.456000+00:00,34348906837
BTC_USDT,77351.4,0.00543,Sell,2026-09-12 16:59:02.557000+00:00,34348913627
BTC_USDT,77349.1,0.00460,Sell,2026-09-12 16:59:07.102000+00:00,34348926940
BTC_USDT,77326.4,0.00636,Buy,2026-09-12 16:59:10.845000+00:00,34348938205
BTC_USDT,77326.4,0.00522,Sell,2026-09-12 16:59:12.950000+00:00,34348945674
BTC_USDT,77327.4,0.00605,Buy,2026-09-12 16:59:14.987000+00:00,34348951499
BTC_USDT,77328.4,0.00589,Buy,2026-09-12 16:59:16.971000+00:00,34348957020
BTC_USDT,77338.4,0.00444,Sell,2026-09-12 16:59:26.990000+00:00,34348986633
BTC_USDT,77353.4,0.00574,Buy,2026-09-12 16:59:31.050000+00:00,34348998191
BTC_USDT,77354.0,0.00129,Buy,2026-09-12 16:59:41.357000+00:00,34349001358
BTC_USDT,77353.4,0.00558,Buy,2026-09-12 16:59:42.955000+00:00,34349007935
BTC_USDT,77342.0,0.00527,Sell,2026-09-12 16:59:44.924000+00:00,34349014979
BTC_USDT,77342.0,0.00584,Buy,2026-09-12 16:59:46.664000+00:00,34349019720
BTC_USDT,77342.0,0.00636,Buy,2026-09-12 16:59:50.215000+00:00,34349029147
BTC_USDT,77342.0,0.00636,Sell,2026-09-12 16:59:52.015000+00:00,34349034703
BTC_USDT,77343.1,0.00132,Buy,2026-09-12 16:59:52.988000+00:00,34349038384
BTC_USDT,77335.7,0.00506,Sell,2026-09-12 16:59:54.039000+00:00,34349042345
BTC_USDT,77335.7,0.00527,Sell,2026-09-12 16:59:55.801000+00:00,34349047495
BTC_USDT,77335.7,0.00465,Buy,2026-09-12 16:59:57.611000+00:00,34349052495
BTC_USDT,77335.5,0.00132,Sell,2026-09-12 16:59:59.820000+00:00,34349058188
BTC_USDT,77335.7,0.00600,Sell,2026-09-12 17:00:03.264000+00:00,34349069230
BTC_USDT,77345.6,0.00610,Buy,2026-09-12 17:00:05.116000+00:00,34349075611
BTC_USDT,77329.9,0.00486,Buy,2026-09-12 17:00:09.620000+00:00,34349088833
BTC_USDT,77336.0,0.00579,Sell,2026-09-12 17:00:11.599000+00:00,34349094645
BTC_USDT,77336.0,0.00450,Sell,2026-09-12 17:00:13.579000+00:00,34349102025
BTC_USDT,77336.4,0.00002,Buy,2026-09-12 17:00:14.613000+00:00,34349105282
BTC_USDT,77336.0,0.00641,Sell,2026-09-12 17:00:15.434000+00:00,34349107669
BTC_USDT,77336.0,0.00537,Buy,2026-09-12 17:00:17.358000+00:00,34349113053
BTC_USDT,77336.0,0.00517,Buy,2026-09-12 17:00:19.361000+00:00,34349118535
BTC_USDT,77336.0,0.00496,Sell,2026-09-12 17:00:21.394000+00:00,34349124375
BTC_USDT,77336.0,0.00517,Buy,2026-09-12 17:00:23.482000+00:00,34349131965
BTC_USDT,77336.0,0.00553,Sell,2026-09-12 17:00:25.473000+00:00,34349138081
BTC_USDT,77336.4,0.00005,Sell,2026-09-12 17:00:31.379000+00:00,34349154811
BTC_USDT,77336.0,0.00646,Sell,2026-09-12 17:00:33.571000+00:00,34349162080
BTC_USDT,77339.1,0.00558,Sell,2026-09-12 17:00:39.192000+00:00,34349178175
BTC_USDT,77339.1,0.00517,Sell,2026-09-12 17:00:40.987000+00:00,34349183362
BTC_USDT,77340.7,0.00011,Sell,2026-09-12 17:00:45.983000+00:00,34349199800
BTC_USDT,77343.1,0.00631,Sell,2026-09-12 17:00:46.474000+00:00,34349201432
BTC_USDT,77344.8,0.00465,Sell,2026-09-12 17:00:50.181000+00:00,34349212138
BTC_USDT,77344.8,0.00460,Sell,2026-09-12 17:00:52.082000+00:00,34349217635
BTC_USDT,77345.8,0.00589,Sell,2026-09-12 17:00:54.213000+00:00,34349224859
BTC_USDT,77345.8,0.00481,Buy,2026-09-12 17:00:57.876000+00:00,34349235509
BTC_USDT,77347.8,0.00496,Sell,2026-09-12 17:01:03.761000+00:00,34349253853
BTC_USDT,77347.8,0.00439,Buy,2026-09-12 17:01:05.764000+00:00,34349259875
BTC_USDT,77347.8,0.00631,Sell,2026-09-12 17:01:08.403000+00:00,34349267677
BTC_USDT,77347.8,0.00563,Sell,2026-09-12 17:01:10.532000+00:00,34349273699
BTC_USDT,77347.8,0.00548,Buy,2026-09-12 17:01:14.685000+00:00,34349286566
BTC_USDT,77349.8,0.00506,Buy,2026-09-12 17:01:16.659000+00:00,34349292240
BTC_USDT,77349.8,0.00460,Sell,2026-09-12 17:01:18.587000+00:00,34349298176
BTC_USDT,77349.8,0.00449,Sell,2026-09-12 17:01:20.447000+00:00,34349303701
BTC_USDT,77349.8,0.00517,Sell,2026-09-12 17:01:22.474000+00:00,34349309668
BTC_USDT,77349.5,0.01012,Sell,2026-09-12 17:01:26.269000+00:00,34349321936
BTC_USDT,77349.8,0.00605,Buy,2026-09-12 17:01:26.372000+00:00,34349322262
BTC_USDT,77349.8,0.00455,Sell,2026-09-12 17:01:28.284000+00:00,34349327928
BTC_USDT,77350,0.00123,Sell,2026-09-12 17:01:32.096000+00:00,34349339418
BTC_USDT,77349.8,0.00487,Buy,2026-09-12 17:01:32.108000+00:00,34349339456
BTC_USDT,77349.8,0.00610,Buy,2026-09-12 17:01:39.817000+00:00,34349363533
BTC_USDT,77349.8,0.00543,Sell,2026-09-12 17:01:43.734000+00:00,34349376185
BTC_USDT,77349.8,0.00615,Sell,2026-09-12 17:01:45.686000+00:00,34349382028
BTC_USDT,77349.8,0.00439,Buy,2026-09-12 17:01:51.218000+00:00,34349398607
BTC_USDT,77349.8,0.00605,Buy,2026-09-12 17:01:53.191000+00:00,34349404880
BTC_USDT,77349.8,0.00465,Sell,2026-09-12 17:01:58.696000+00:00,34349421987
BTC_USDT,77349.8,0.00615,Buy,2026-09-12 17:02:00.522000+00:00,34349427642
BTC_USDT,77349.8,0.00599,Sell,2026-09-12 17:02:02.382000+00:00,34349433592
BTC_USDT,77349.8,0.00646,Buy,2026-09-12 17:02:04.265000+00:00,34349440483
BTC_USDT,77346.0,0.00470,Sell,2026-09-12 17:02:08.827000+00:00,34349453754
BTC_USDT,77346.0,0.00553,Buy,2026-09-12 17:02:10.834000+00:00,34349459686
BTC_USDT,77346.0,0.00512,Sell,2026-09-12 17:02:12.756000+00:00,34349466000
BTC_USDT,77346.0,0.00548,Buy,2026-09-12 17:02:16.536000+00:00,34349477402
BTC_USDT,77346.0,0.00506,Sell,2026-09-12 17:02:18.316000+00:00,34349482715
BTC_USDT,77346.0,0.00615,Buy,2026-09-12 17:02:23.665000+00:00,34349499609
BTC_USDT,77346.0,0.00610,Sell,2026-09-12 17:02:25.427000+00:00,34349504922
BTC_USDT,77346.8,0.00129,Buy,2026-09-12 17:02:26.437000+00:00,34349507830
