symbol,price,amount,side,updated,sequence
BTC_USDT,78563.3,0.00524,Sell,2026-09-09 16:20:45.563000+00:00,33547195895
BTC_USDT,78571.5,0.00061,Buy,2026-09-09 16:20:49.329000+00:00,33547207862
BTC_USDT,78570.9,0.00432,Buy,2026-09-09 16:20:54.592000+00:00,33547224587
BTC_USDT,78574,0.00079,Buy,2026-09-09 16:20:56.905000+00:00,33547231744
BTC_USDT,78579.4,0.00631,Sell,2026-09-09 16:20:59.270000+00:00,33547239015
BTC_USDT,78579.4,0.00570,Sell,2026-09-09 16:21:01.523000+00:00,33547245976
BTC_USDT,78608.0,0.00559,Buy,2026-09-09 16:21:08.171000+00:00,33547267050
BTC_USDT,78610.0,0.00432,Sell,2026-09-09 16:21:12.545000+00:00,33547280951
BTC_USDT,78612.5,0.00498,Sell,2026-09-09 16:21:14.948000+00:00,33547288866
BTC_USDT,78614.1,0.00006,Buy,2026-09-09 16:21:16.113000+00:00,33547292363
BTC_USDT,78612.5,0.00620,Sell,2026-09-09 16:21:17.342000+00:00,33547295983
BTC_USDT,78613.7,0.00094,Buy,2026-09-09 16:21:19.389000+00:00,33547302504
BTC_USDT,78626.1,0.00027,Buy,2026-09-09 16:21:21.772000+00:00,33547310835
BTC_USDT,78632.6,0.00457,Buy,2026-09-09 16:21:24.334000+00:00,33547318968
BTC_USDT,78633.0,0.00519,Buy,2026-09-09 16:21:28.693000+00:00,33547331798
BTC_USDT,78625.4,0.00002,Sell,2026-09-09 16:21:30.684000+00:00,33547338625
BTC_USDT,78620.6,0.00463,Sell,2026-09-09 16:21:35.296000+00:00,33547353197
BTC_USDT,78638.2,0.0016,Sell,2026-09-09 16:21:48.374000+00:00,33547392506
BTC_USDT,78637.1,0.00524,Buy,2026-09-09 16:21:50.770000+00:00,33547400233
BTC_USDT,78637.1,0.00569,Buy,2026-09-09 16:21:53.540000+00:00,33547408608
BTC_USDT,78636.0,0.00025,Sell,2026-09-09 16:21:53.823000+00:00,33547409450
BTC_USDT,78636.0,0.00043,Sell,2026-09-09 16:21:54.483000+00:00,33547411475
BTC_USDT,78637.1,0.00005,Buy,2026-09-09 16:21:55.045000+00:00,33547413298
BTC_USDT,78636.6,0.00032,Buy,2026-09-09 16:21:55.310000+00:00,33547414275
BTC_USDT,78623.6,0.00569,Sell,2026-09-09 16:21:55.734000+00:00,33547415662
BTC_USDT,78610.5,0.0002,Sell,2026-09-09 16:22:00.062000+00:00,33547428866
BTC_USDT,78611.3,0.00605,Buy,2026-09-09 16:22:00.279000+00:00,33547429465
BTC_USDT,78611.3,0.00498,Sell,2026-09-09 16:22:02.481000+00:00,33547435943
BTC_USDT,78594.5,0.00595,Buy,2026-09-09 16:22:07.132000+00:00,33547451919
BTC_USDT,78589.8,0.00463,Buy,2026-09-09 16:22:09.324000+00:00,33547458183
BTC_USDT,78571.7,0.00015,Buy,2026-09-09 16:22:16.058000+00:00,33547479872
BTC_USDT,78571.7,0.00032,Buy,2026-09-09 16:22:16.644000+00:00,33547481797
BTC_USDT,78571.2,0.00493,Sell,2026-09-09 16:22:18.045000+00:00,33547486255
BTC_USDT,78560.3,0.00006,Sell,2026-09-09 16:22:21.902000+00:00,33547500075
BTC_USDT,78553.4,0.01132,Sell,2026-09-09 16:22:22.774000+00:00,33547502667
BTC_USDT,78552.4,0.00539,Buy,2026-09-09 16:22:23.188000+00:00,33547503990
BTC_USDT,78537.2,0.00596,Sell,2026-09-09 16:22:25.639000+00:00,33547511863
BTC_USDT,78537.2,0.00585,Buy,2026-09-09 16:22:27.925000+00:00,33547519152
BTC_USDT,78537.2,0.00570,Sell,2026-09-09 16:22:29.955000+00:00,33547525700
BTC_USDT,78534.1,0.0121,Buy,2026-09-09 16:22:32.121000+00:00,33547532404
BTC_USDT,78519.8,0.00591,Buy,2026-09-09 16:22:34.219000+00:00,33547538688
BTC_USDT,78509.3,0.00453,Buy,2026-09-09 16:22:36.585000+00:00,33547546888
BTC_USDT,78509.3,0.00438,Buy,2026-09-09 16:22:38.987000+00:00,33547554399
BTC_USDT,78487.3,0.00013,Buy,2026-09-09 16:22:43.253000+00:00,33547568025
BTC_USDT,78487.2,0.00560,Sell,2026-09-09 16:22:43.457000+00:00,33547568605
BTC_USDT,78487.3,0.01809,Buy,2026-09-09 16:22:45.154000+00:00,33547573698
BTC_USDT,78487.2,0.00463,Sell,2026-09-09 16:22:47.789000+00:00,33547581955
BTC_USDT,78487.2,0.00443,Buy,2026-09-09 16:22:49.908000+00:00,33547588730
BTC_USDT,78486.2,0.00029,Sell,2026-09-09 16:22:52.026000+00:00,33547595476
BTC_USDT,78487.3,0.00621,Sell,2026-09-09 16:22:58.639000+00:00,33547615697
BTC_USDT,78487.2,0.00596,Sell,2026-09-09 16:23:00.992000+00:00,33547622934
BTC_USDT,78487.2,0.00560,Buy,2026-09-09 16:23:03.232000+00:00,33547629823
BTC_USDT,78486.5,0.00015,Sell,2026-09-09 16:23:04.835000+00:00,33547634479
BTC_USDT,78487.2,0.00586,Sell,2026-09-09 16:23:05.503000+00:00,33547636642
BTC_USDT,78487.2,0.00519,Buy,2026-09-09 16:23:07.642000+00:00,33547643209
BTC_USDT,78488.5,0.00025,Buy,2026-09-09 16:23:11.364000+00:00,33547655553
BTC_USDT,78488.3,0.00017,Sell,2026-09-09 16:23:11.977000+00:00,33547657256
BTC_USDT,78480.8,0.00025,Sell,2026-09-09 16:23:12.300000+00:00,33547658066
BTC_USDT,78466.9,0.00566,Buy,2026-09-09 16:23:12.727000+00:00,33547659365
BTC_USDT,78462.7,0.00596,Sell,2026-09-09 16:23:14.910000+00:00,33547665914
